 (Airport_Name, Location : PageRank) 
(Chicago Ohare Intl, United States : 0.003549309377528874)
(Los Angeles Intl, United States : 0.0035452463351486174)
(Denver Intl, United States : 0.0035305001726769992)
(Heathrow, United Kingdom : 0.002770732720442916)
(Hartsfield Jackson Atlanta Intl, United States : 0.0027216737150449703)
(Charles De Gaulle, France : 0.0026830149900668983)
(Capital Intl, China : 0.002675333053868174)
(Changi Intl, Singapore : 0.0026746217303713774)
(Frankfurt Main, Germany : 0.0026140919735671547)
(Sydney Intl, Australia : 0.002512232633497399)
(Dallas Fort Worth Intl, United States : 0.002452956307369324)
(John F Kennedy Intl, United States : 0.0024364241464649617)
(Schiphol, Netherlands : 0.0024079644950702854)
(Domododevo, Russia : 0.0023467550367557333)
(Lester B Pearson Intl, Canada : 0.0022347772059081437)
(Incheon Intl, South Korea : 0.0022193106510839267)
(Dubai Intl, United Arab Emirates : 0.0022176995155204393)
(Pudong, China : 0.002097445886429325)
(Ataturk, Turkey : 0.0020783675016930944)
(Barcelona, Spain : 0.00207230245742627)
(Hong Kong Intl, Hong Kong : 0.0019919221383471364)
(Eldorado Intl, Colombia : 0.0019050820332502192)
(Suvarnabhumi Intl, Thailand : 0.0018883855784747772)
(Miami Intl, United States : 0.0018642543825024194)
(Licenciado Benito Juarez Intl, Mexico : 0.0018541679287880062)
(Fiumicino, Italy : 0.0018471391300409132)
(Brisbane Intl, Australia : 0.0018178199136430952)
(Gatwick, United Kingdom : 0.0018040812509043205)
(San Francisco Intl, United States : 0.0017970215312288834)
(Franz Josef Strauss, Germany : 0.0017849952518705057)
(George Bush Intercontinental, United States : 0.0017778703279548993)
(Kuala Lumpur Intl, Malaysia : 0.001765780106528257)
(Barajas, Spain : 0.0017580591174723766)
(Indira Gandhi Intl, India : 0.0017525675378265138)
(Charlotte Douglas Intl, United States : 0.001744188519369433)
(Seattle Tacoma Intl, United States : 0.00174235435186607)
(Minneapolis St Paul Intl, United States : 0.0017375768578530182)
(Narita Intl, Japan : 0.0017137001011975476)
(Ninoy Aquino Intl, Philippines : 0.0017129659353395468)
(Schwechat, Austria : 0.0016915208377034615)
(Pulkovo, Russia : 0.0016893186621109875)
(Baiyun Intl, China : 0.0016127919597746915)
(Mc Carran Intl, United States : 0.0016016204538188362)
(Aeroparque Jorge Newbery, Argentina : 0.0015731945372801054)
(Guarulhos Gov Andre Franco Montouro, Brazil : 0.0015723873945265394)
(Johannesburg Intl, South Africa : 0.0015328795301003202)
(Manchester, United Kingdom : 0.001523806034717588)
(Son Sant Joan, Spain : 0.001507686908947219)
(Chhatrapati Shivaji Intl, India : 0.0015044241962915116)
