 (Airport_Name, Location : PageRank) 
(Chicago Ohare Intl, United States : 0.004265767688768597)
(Los Angeles Intl, United States : 0.004147005544743306)
(Capital Intl, China : 0.00394994211589537)
(Heathrow, United Kingdom : 0.003921662201616694)
(Charles De Gaulle, France : 0.0038521234852884616)
(Frankfurt Main, Germany : 0.0037875404900751908)
(Denver Intl, United States : 0.003765178598901856)
(Schiphol, Netherlands : 0.003502373601146122)
(John F Kennedy Intl, United States : 0.003300809400483653)
(Barcelona, Spain : 0.0032347045810233164)
(Changi Intl, Singapore : 0.0031364606373990894)
(Hartsfield Jackson Atlanta Intl, United States : 0.0031279077630117667)
(Pudong, China : 0.0030712755178959037)
(Incheon Intl, South Korea : 0.0029747491906670703)
(Franz Josef Strauss, Germany : 0.0028492724554940643)
(Fiumicino, Italy : 0.0028273504667457095)
(Gatwick, United Kingdom : 0.0028132236340561246)
(Dubai Intl, United Arab Emirates : 0.002790127698902224)
(Hong Kong Intl, Hong Kong : 0.0027558559246376848)
(Lester B Pearson Intl, Canada : 0.002708048050593135)
(Schwechat, Austria : 0.0026549441373762113)
(Ataturk, Turkey : 0.0026495601305244728)
(Dallas Fort Worth Intl, United States : 0.002622972810246617)
(Domododevo, Russia : 0.0026062551147433264)
(Barajas, Spain : 0.0025033826769349796)
(Manchester, United Kingdom : 0.002447935474286043)
(Dusseldorf, Germany : 0.0024217440921053685)
(Baiyun Intl, China : 0.0024156080251418665)
(Son Sant Joan, Spain : 0.0024002808854416673)
(Suvarnabhumi Intl, Thailand : 0.0023022229745964587)
(Narita Intl, Japan : 0.00226505923778057)
(Shuangliu, China : 0.002255589760378826)
(San Francisco Intl, United States : 0.002227246781386313)
(Brussels Natl, Belgium : 0.0022181344697141656)
(Pulkovo, Russia : 0.0021363469080235677)
(Wujiaba, China : 0.0021188805311865735)
(Zurich, Switzerland : 0.002116217473786658)
(Miami Intl, United States : 0.002103592444573658)
(Xianyang, China : 0.002033660641151945)
(Kastrup, Denmark : 0.0020268629973292313)
(Taoyuan Intl, Taiwan : 0.0020073574916014522)
(Newark Liberty Intl, United States : 0.0020021608846155442)
(Kuala Lumpur Intl, Malaysia : 0.002001205534101011)
(George Bush Intercontinental, United States : 0.0019944526737269335)
(Indira Gandhi Intl, India : 0.0019909204571665552)
(Mc Carran Intl, United States : 0.001985203213290701)
(Charlotte Douglas Intl, United States : 0.0019750444617678284)
(Sydney Intl, Australia : 0.0019240073599761682)
(Jiangbei, China : 0.001882394242036995)
(Seattle Tacoma Intl, United States : 0.0018711445454146034)
(Abu Dhabi Intl, United Arab Emirates : 0.0018327224456293643)
(Orlando Intl, United States : 0.0018197195848121488)
(Xiaoshan, China : 0.0018168898143552357)
(Malpensa, Italy : 0.0018073917543515172)
(Licenciado Benito Juarez Intl, Mexico : 0.0017934896413502113)
(Sheremetyevo, Russia : 0.001754976347801569)
(Minneapolis St Paul Intl, United States : 0.0017548108505911753)
(Philadelphia Intl, United States : 0.0017424231067222247)
(Baoan Intl, China : 0.001723794797069937)
(Chhatrapati Shivaji Intl, India : 0.00172343756394124)
(Detroit Metro Wayne Co, United States : 0.0017078216130824184)
(Washington Dulles Intl, United States : 0.0016861462610073493)
(Phoenix Sky Harbor Intl, United States : 0.0016820703005984848)
(Tegel, Germany : 0.0016540723728076035)
(General Edward Lawrence Logan Intl, United States : 0.0016311859983476804)
(Dublin, Ireland : 0.0016276674038128265)
(Orly, France : 0.001612155629708354)
(Ninoy Aquino Intl, Philippines : 0.0016111195187883916)
(Gardermoen, Norway : 0.001599456664998434)
(Gaoqi, China : 0.0015683101515887587)
(Arlanda, Sweden : 0.00155810077895335)
(Lisboa, Portugal : 0.0015504164159876352)
(Malaga, Spain : 0.0015396849761328075)
(Hongqiao Intl, China : 0.0015375576904452998)
